Linux 3.10.0-327.10.1.el7.x86_64 (storage14.cluster) 	02/23/2017 	_x86_64_	(28 CPU)

08:20:51 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:31:51 PM        lo   6705.28   6705.28 136945.70 136945.70      0.00      0.00      0.00
08:31:51 PM       ib0   8406.43   7405.18 140592.40 205347.53      0.00      0.00      0.00
08:32:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:32:51 PM       en0      0.48      0.00      0.03      0.00      0.00      0.00      0.48
08:32:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:32:51 PM       en1     38.35     23.10      5.84      5.07      0.00      0.00     18.48
08:32:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:32:51 PM        lo   6734.32   6734.32 136979.52 136979.52      0.00      0.00      0.00
08:32:51 PM       ib0  12822.30  16020.57 232376.12 314281.24      0.00      0.00      0.00
08:33:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:33:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:51 PM       en1     35.08     14.67      5.10      2.41      0.00      0.00     22.58
08:33:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:51 PM        lo   2056.97   2056.97  35387.74  35387.74      0.00      0.00      0.00
08:33:51 PM       ib0   9956.27   8531.45 101886.59  77617.59      0.00      0.00      0.00
08:34:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:34:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:51 PM       en1     46.58     32.03      7.81      7.13      0.00      0.00     21.00
08:34:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:51 PM        lo  11578.75  11578.75 234867.08 234867.08      0.00      0.00      0.00
08:34:51 PM       ib0  20503.68  20443.70 430469.98 442626.98      0.00      0.00      0.00
08:35:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:35:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:35:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:35:51 PM       en1     30.42     11.80      4.60      1.74      0.00      0.00     19.62
08:35:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:35:51 PM        lo    405.78    405.78   8106.85   8106.85      0.00      0.00      0.00
08:35:51 PM       ib0   1728.92   2072.53  47170.31  22310.12      0.00      0.00      0.00
08:36:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:36:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:36:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:36:51 PM       en1     37.45     20.57      5.47      3.72      0.00      0.00     20.73
08:36:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:36:51 PM        lo   3661.43   3661.43  66328.58  66328.58      0.00      0.00      0.00
08:36:51 PM       ib0  22261.02  21571.65 280895.76 208345.45      0.00      0.00      0.00
08:37:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:37:51 PM       en0      0.48      0.00      0.03      0.00      0.00      0.00      0.48
08:37:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:37:51 PM       en1     56.70     34.88      6.70      9.92      0.00      0.00     20.78
08:37:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:37:51 PM        lo      1.65      1.65      5.42      5.42      0.00      0.00      0.00
08:37:51 PM       ib0    463.25   1508.40   1128.58  16612.84      0.00      0.00      0.00
08:38:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:38:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:38:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:38:51 PM       en1     53.13     19.42     11.87      3.59      0.00      0.00     20.20
08:38:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:38:51 PM        lo     12.95     12.95     30.00     30.00      0.00      0.00      0.00
08:38:51 PM       ib0   4635.35   5492.97 142412.76  78692.62      0.00      0.00      0.00
08:39:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:39:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:39:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:39:51 PM       en1     37.28     21.20      5.58      4.83      0.00      0.00     21.23
08:39:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:39:51 PM        lo   6729.28   6729.28 136958.42 136958.42      0.00      0.00      0.00
08:39:51 PM       ib0  12826.97  13887.98 252372.56 289689.59      0.00      0.00      0.00
08:40:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:40:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:40:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:40:51 PM       en1     38.95     20.78      6.21      3.04      0.00      0.00     20.52
08:40:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:40:51 PM        lo   3032.98   3032.98  53033.34  53033.34      0.00      0.00      0.00
08:40:51 PM       ib0   8488.10   7960.38  84190.66  75370.96      0.00      0.00      0.00
08:41:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:41:51 PM       en0      0.48      0.00      0.03      0.00      0.00      0.00      0.48
08:41:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:41:51 PM       en1     39.17     24.60      6.15      5.76      0.00      0.00     20.67
08:41:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:41:51 PM        lo   7515.52   7515.52 152414.52 152414.52      0.00      0.00      0.00
08:41:51 PM       ib0  19839.48  21773.78 509758.39 387536.37      0.00      0.00      0.00
08:42:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:42:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:42:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:42:51 PM       en1     92.20     69.38     11.46     19.85      0.00      0.00     19.83
08:42:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:42:51 PM        lo    771.50    771.50  15494.08  15494.08      0.00      0.00      0.00
08:42:51 PM       ib0   3127.53   3458.22  76772.91  55000.89      0.00      0.00      0.00
08:43:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:43:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:43:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:43:51 PM       en1    144.22     96.58     26.04     22.87      0.00      0.00     22.25
08:43:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:43:51 PM        lo   4551.48   4551.48  79679.85  79679.85      0.00      0.00      0.00
08:43:51 PM       ib0  19858.68  17883.60 172836.11 161915.24      0.00      0.00      0.00
08:44:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
